Number,Trade type,Entry time,Exposure,Entry balance,Exit balance,Profit,Pnl (incl fees),Exchange,Margin,BTC Price
478,Short,6th Aug 2019 07:00,1 hour 30 minutes,1442.47514,1428.61619,-13.858944,-0.96,Bitmex,1,11465.4
477,Long,1st Aug 2019 20:00,4 days 11 hours,1255.06571,1446.29982,191.234105,15.24,Bitmex,1,10405.9
476,Short,1st Aug 2019 09:30,10 hours 30 minutes,1299.90089,1254.15071,-45.750182,-3.52,Bitmex,1,10405.9
475,Long,30th Jul 2019 14:30,1 day 19 hours,1255.68218,1300.80331,45.121133,3.59,Bitmex,1,9589.01
474,Short,27th Jul 2019 12:00,3 days 2 hours 30 minutes,1268.44852,1255.42164,-13.026877,-1.03,Bitmex,1,9479.98
473,Long,26th Jul 2019 17:30,18 hours 30 minutes,1310.41271,1267.59211,-42.820605,-3.27,Bitmex,1,9843
472,Short,25th Jul 2019 21:00,20 hours 30 minutes,1301.44803,1310.59567,9.147634,0.7,Bitmex,1,9883.34
471,Long,24th Jul 2019 18:00,1 day 3 hours,1270.22151,1302.08531,31.863792,2.51,Bitmex,1,9767.87
470,Short,23rd Jul 2019 10:00,1 day 8 hours,1226.44245,1271.11497,44.672518,3.64,Bitmex,1,9840.12
469,Long,23rd Jul 2019 03:30,6 hours 30 minutes,1264.51155,1225.66553,-38.846023,-3.07,Bitmex,1,9840.12
468,Short,21st Jul 2019 06:30,1 day 21 hours,1225.15158,1265.31482,40.163238,3.28,Bitmex,1,10590.7
467,Short,19th Jul 2019 11:00,1 day 12 hours 6 minutes,1309.81999,1223.42365,-86.396337,-6.6,Bitmex,1,10518.5
466,Long,17th Jul 2019 15:00,1 day 20 hours,1233.19515,1311.38376,78.188607,6.34,Bitmex,1,9696.31
465,Short,16th Jul 2019 11:30,1 day 3 hours 30 minutes,1116.20529,1235.5827,119.377412,10.69,Bitmex,1,9422.71
464,Long,15th Jul 2019 00:00,1 day 11 hours 30 minutes,1063.9759,1117.27119,53.295298,5.01,Bitmex,1,10854.4
463,Short,10th Jul 2019 15:30,4 days 8 hours 30 minutes,882.01956,1067.68929,185.669728,21.05,Bitmex,1,12097.9
462,Long,10th Jul 2019 01:30,14 hours,931.290314,881.014035,-50.276278,-5.4,Bitmex,1,12097.9
461,Short,9th Jul 2019 21:00,4 hours 30 minutes,975.58496,930.386341,-45.198618,-4.63,Bitmex,1,12561
460,Long,6th Jul 2019 10:30,3 days 10 hours 30 minutes,908.070243,976.962811,68.892568,7.59,Bitmex,1,11237.7
459,Short,29th Jun 2019 05:30,1 week 5 hours,898.480281,908.265956,9.785675,1.09,Bitmex,1,11865.2
458,Long,27th Jun 2019 17:30,1 day 12 hours,836.504697,899.745089,63.240391,7.56,Bitmex,1,11159.2
457,Short,27th Jun 2019 05:00,12 hours 30 minutes,699.384696,839.303064,139.918368,20.01,Bitmex,1,11159.2
456,Short,26th Jun 2019 05:30,12 hours 58 minutes,747.036285,698.412214,-48.62407,-6.51,Bitmex,1,12927.4
455,Long,23rd Jun 2019 15:00,2 days 14 hours 30 minutes,647.023244,749.077367,102.054123,15.77,Bitmex,1,10833
454,Short,22nd Jun 2019 03:30,1 day 11 hours 30 minutes,640.859404,647.149037,6.289632,0.98,Bitmex,1,10666.8
453,Long,17th Jun 2019 14:00,4 days 13 hours 30 minutes,562.501979,642.458535,79.956556,14.21,Bitmex,1,9331.75
452,Short,16th Jun 2019 02:00,1 day 12 hours,582.607247,562.091667,-20.515579,-3.52,Bitmex,1,8978.66
451,Long,10th Jun 2019 07:30,5 days 18 hours 30 minutes,513.61835,584.015183,70.396833,13.71,Bitmex,1,8015.69
450,Short,2nd Jun 2019 23:00,1 week 8 hours 30 minutes,455.742495,514.79949,59.056995,12.96,Bitmex,1,8736.54
449,Long,31st May 2019 15:00,2 days 8 hours,440.344958,456.05673,15.711771,3.57,Bitmex,1,8566.04
448,Short,30th May 2019 21:00,18 hours,437.857723,440.395718,2.537995,0.58,Bitmex,1,8279.69
447,Long,30th May 2019 16:00,5 hours,462.902489,437.346605,-25.555883,-5.52,Bitmex,1,8279.69
446,Short,27th May 2019 01:00,3 days 15 hours,465.601455,462.847408,-2.754046,-0.59,Bitmex,1,8768.62
445,Long,23rd May 2019 13:30,3 days 11 hours 30 minutes,410.176628,466.732574,56.555945,13.79,Bitmex,1,7881.98
444,Short,21st May 2019 15:30,1 day 22 hours,394.708451,410.492305,15.783854,4,Bitmex,1,7951.7
443,Long,17th May 2019 22:00,3 days 17 hours 30 minutes,362.898732,395.357629,32.458896,8.94,Bitmex,1,7361.1
442,Short,17th May 2019 03:30,18 hours 30 minutes,358.487421,362.988759,4.501338,1.26,Bitmex,1,7361.1
441,Long,17th May 2019 01:00,2 hours 1 minute,396.249843,357.716759,-38.533084,-9.72,Bitmex,1,7361.1
440,Short,16th May 2019 09:30,15 hours 30 minutes,389.885097,396.379736,6.494639,1.67,Bitmex,1,7878.96
439,Long,16th May 2019 01:30,8 hours,403.475719,389.607737,-13.867981,-3.44,Bitmex,1,7878.96
438,Short,14th May 2019 08:00,1 day 17 hours 30 minutes,402.856619,403.488354,0.631734,0.16,Bitmex,1,7990.92
437,Long,13th May 2019 09:30,22 hours 30 minutes,351.208998,403.910652,52.701654,15.01,Bitmex,1,7825.41
436,Short,11th May 2019 23:00,1 day 10 hours 30 minutes,343.456609,351.36721,7.910601,2.3,Bitmex,1,7223.21
435,Long,10th May 2019 02:30,1 day 20 hours 30 minutes,301.617757,344.310463,42.692706,14.15,Bitmex,1,6343.14
434,Short,9th May 2019 16:30,10 hours,311.541923,301.415222,-10.1267,-3.25,Bitmex,1,6153.09
433,Long,8th May 2019 16:30,1 day,305.228512,311.670768,6.442256,2.11,Bitmex,1,5943.6
432,Short,7th May 2019 19:00,21 hours 30 minutes,305.805467,305.216738,-0.588729,-0.19,Bitmex,1,5743.3
431,Long,6th May 2019 16:00,1 day 3 hours,295.213275,306.021634,10.808359,3.66,Bitmex,1,5687.9
430,Short,5th May 2019 14:30,1 day 1 hour 30 minutes,292.549765,295.267632,2.717867,0.93,Bitmex,1,5715.86
429,Long,3rd May 2019 05:00,2 days 9 hours 30 minutes,281.893215,292.767245,10.87403,3.86,Bitmex,1,5657.4
428,Short,29th Apr 2019 03:00,4 days 2 hours,298.603972,281.552179,-17.051793,-5.71,Bitmex,1,5148.25
427,Long,29th Apr 2019 01:30,1 hour 30 minutes,298.901982,298.59789,-0.304092,-0.1,Bitmex,1,5148.25
426,Short,28th Apr 2019 12:30,13 hours,298.436851,298.911475,0.474623,0.16,Bitmex,1,5155
425,Long,22nd Apr 2019 04:30,6 days 8 hours,303.69716,298.329498,-5.367662,-1.77,Bitmex,1,5387.6
424,Short,13th Apr 2019 15:00,1 week 1 day 13 hours 30 minutes,314.466131,303.477385,-10.988745,-3.49,Bitmex,1,5066.22
423,Long,12th Apr 2019 04:00,1 day 11 hours,310.655325,314.543903,3.888577,1.25,Bitmex,1,5078.18
422,Short,8th Apr 2019 14:00,3 days 14 hours,301.550132,310.841145,9.291012,3.08,Bitmex,1,5285.54
421,Long,4th Apr 2019 21:30,3 days 16 hours 30 minutes,287.329051,301.840358,14.511307,5.05,Bitmex,1,4906.49
420,Short,4th Apr 2019 13:30,8 hours,282.955945,287.418298,4.462352,1.58,Bitmex,1,4906.49
419,Long,3rd Apr 2019 18:30,19 hours,291.075286,282.790244,-8.285042,-2.85,Bitmex,1,4975.07
418,Short,2nd Apr 2019 05:30,1 day 13 hours,299.184598,290.90979,-8.274808,-2.77,Bitmex,1,4901.93
417,Long,26th Mar 2019 15:00,6 days 14 hours 30 minutes,246.50221,300.259749,53.757539,21.81,Bitmex,1,3922.42
416,Short,25th Mar 2019 18:00,21 hours,244.713532,246.538713,1.825181,0.75,Bitmex,1,3908.01
415,Long,20th Mar 2019 23:30,4 days 18 hours 30 minutes,250.691182,244.591539,-6.099642,-2.43,Bitmex,1,4033
414,Short,11th Mar 2019 12:00,1 week 2 days 11 hours 30 minutes,262.163843,250.457046,-11.706796,-4.47,Bitmex,1,3849.68
413,Long,11th Mar 2019 01:30,10 hours 30 minutes,266.103855,262.083435,-4.02042,-1.51,Bitmex,1,3849.68
412,Short,10th Mar 2019 01:00,1 day 30 minutes,266.595969,266.093812,-0.502157,-0.19,Bitmex,1,3900.92
411,Long,5th Mar 2019 00:30,5 days 30 minutes,254.101059,266.850967,12.749907,5.02,Bitmex,1,3844.59
410,Short,3rd Mar 2019 15:30,1 day 9 hours,248.488058,254.21561,5.727552,2.3,Bitmex,1,3786.93
409,Long,2nd Mar 2019 22:00,17 hours 30 minutes,249.563289,248.466115,-1.097174,-0.44,Bitmex,1,3809.7
408,Short,2nd Mar 2019 04:30,17 hours 30 minutes,249.834123,249.557762,-0.276361,-0.11,Bitmex,1,3809.7
407,Long,1st Mar 2019 14:00,14 hours 30 minutes,250.653851,249.817394,-0.836456,-0.33,Bitmex,1,3806.17
406,Short,28th Feb 2019 22:00,16 hours,252.092266,250.624495,-1.46777,-0.58,Bitmex,1,3792.14
405,Long,28th Feb 2019 10:00,12 hours,254.037709,252.052563,-1.985146,-0.78,Bitmex,1,3792.14
404,Short,26th Feb 2019 07:00,2 days 3 hours,257.617712,253.964648,-3.653063,-1.42,Bitmex,1,3799.48
403,Long,25th Feb 2019 14:00,17 hours,258.905352,257.591434,-1.313918,-0.51,Bitmex,1,3818.79
402,Short,24th Feb 2019 03:30,1 day 10 hours 30 minutes,235.114445,259.39088,24.276435,10.33,Bitmex,1,3734.22
401,Long,16th Feb 2019 03:30,1 week 1 day,206.344262,235.701591,29.357329,14.23,Bitmex,1,3582.37
400,Short,13th Feb 2019 13:00,2 days 14 hours 30 minutes,206.817907,206.334596,-0.483311,-0.23,Bitmex,1,3576.68
399,Long,12th Feb 2019 13:30,23 hours 30 minutes,207.235949,206.809376,-0.426573,-0.21,Bitmex,1,3588.06
398,Short,12th Feb 2019 09:00,4 hours 30 minutes,208.25395,207.215174,-1.038776,-0.5,Bitmex,1,3588.06
397,Long,8th Feb 2019 06:00,4 days 3 hours,197.462856,208.474177,11.01132,5.58,Bitmex,1,3621.99
396,Short,7th Feb 2019 21:00,9 hours,198.244805,197.446898,-0.797907,-0.4,Bitmex,1,3359
395,Long,6th Feb 2019 23:30,21 hours 30 minutes,199.206203,198.225185,-0.981018,-0.49,Bitmex,1,3367.36
394,Short,2nd Feb 2019 08:00,4 days 15 hours 30 minutes,196.269506,199.266136,2.996629,1.53,Bitmex,1,3468.43
393,Long,29th Jan 2019 15:00,3 days 17 hours,195.383076,196.287597,0.90452,0.46,Bitmex,1,3397.42
392,Short,28th Jan 2019 04:00,1 day 11 hours,192.099409,195.45009,3.35068,1.74,Bitmex,1,3429.95
391,Long,27th Jan 2019 09:00,19 hours,197.121779,191.996911,-5.124867,-2.6,Bitmex,1,3531.02
390,Short,26th Jan 2019 21:00,12 hours,197.384726,197.116413,-0.268312,-0.14,Bitmex,1,3556.07
389,Long,24th Jan 2019 07:30,2 days 13 hours 30 minutes,196.833071,197.395984,0.562913,0.29,Bitmex,1,3568.97
388,Short,22nd Jan 2019 05:00,2 days 2 hours 30 minutes,197.615979,196.817093,-0.798886,-0.4,Bitmex,1,3577.03
387,Long,21st Jan 2019 11:00,18 hours,198.458574,197.598784,-0.85979,-0.43,Bitmex,1,3531.76
386,Short,20th Jan 2019 07:30,1 day 3 hours 30 minutes,190.766025,198.615565,7.849539,4.11,Bitmex,1,3536.19
385,Long,19th Jan 2019 05:30,1 day 2 hours,187.801651,190.826523,3.024871,1.61,Bitmex,1,3682.65
384,Short,18th Jan 2019 11:00,18 hours 30 minutes,189.05016,187.776171,-1.273988,-0.67,Bitmex,1,3607.85
383,Long,17th Jan 2019 09:00,1 day 2 hours,188.763608,189.056008,0.2924,0.15,Bitmex,1,3640.65
382,Short,17th Jan 2019 08:30,30 minutes,189.506901,188.748439,-0.758462,-0.4,Bitmex,1,3640.65
381,Long,16th Jan 2019 12:30,20 hours,192.684968,189.442043,-3.242925,-1.68,Bitmex,1,3609.71
380,Short,15th Jan 2019 13:30,23 hours,192.734958,192.683948,-0.051009,-0.03,Bitmex,1,3580.76
379,Long,14th Jan 2019 14:00,23 hours 30 minutes,187.543092,192.840915,5.297822,2.82,Bitmex,1,3664.19
378,Short,10th Jan 2019 01:00,4 days 13 hours,165.71234,187.988618,22.276277,13.44,Bitmex,1,3626.12
377,Long,8th Jan 2019 08:00,1 day 17 hours,164.590079,165.735244,1.145165,0.7,Bitmex,1,3993.86
376,Short,7th Jan 2019 16:00,16 hours,163.703768,164.608167,0.904398,0.55,Bitmex,1,4006.01
375,Long,6th Jan 2019 16:30,23 hours 30 minutes,156.849928,163.843642,6.993713,4.46,Bitmex,1,4040.99
374,Short,5th Jan 2019 16:30,1 day,156.619162,156.854638,0.235476,0.15,Bitmex,1,3798.62
373,Long,1st Jan 2019 13:30,4 days 3 hours,151.825101,156.717,4.891898,3.22,Bitmex,1,3826.1
372,Short,29th Dec 2018 14:30,2 days 23 hours,146.228029,151.939327,5.711297,3.91,Bitmex,1,3729.31
371,Long,28th Dec 2018 16:00,22 hours 30 minutes,145.133765,146.250361,1.116596,0.77,Bitmex,1,3888.06
370,Short,27th Dec 2018 19:30,20 hours 8 minutes,155.56299,144.920923,-10.642067,-6.84,Bitmex,1,3589.89
369,Long,27th Dec 2018 01:30,18 hours,164.125967,155.388236,-8.737731,-5.32,Bitmex,1,3589.89
368,Short,26th Dec 2018 21:00,4 hours 30 minutes,165.287508,164.102262,-1.185245,-0.72,Bitmex,1,3809.88
367,Long,25th Dec 2018 22:00,23 hours,166.244966,165.267968,-0.976998,-0.59,Bitmex,1,3780
366,Short,21st Dec 2018 05:30,4 days 16 hours 30 minutes,157.662418,166.42012,8.757702,5.55,Bitmex,1,3839.06
365,Long,19th Dec 2018 00:00,2 days 5 hours 30 minutes,145.925448,157.901948,11.976499,8.21,Bitmex,1,3682.51
364,Short,18th Dec 2018 13:30,10 hours 30 minutes,152.549038,145.790273,-6.758765,-4.43,Bitmex,1,3667.77
363,Short,16th Dec 2018 19:30,22 hours 42 minutes,163.269046,152.330262,-10.938783,-6.7,Bitmex,1,3195
362,Long,16th Dec 2018 02:00,17 hours 30 minutes,161.328969,163.30864,1.979671,1.23,Bitmex,1,3195
361,Short,15th Dec 2018 12:30,13 hours 30 minutes,163.02241,161.294409,-1.728001,-1.06,Bitmex,1,3183
360,Long,15th Dec 2018 11:30,1 hour,163.28778,163.016995,-0.270785,-0.17,Bitmex,1,3183
359,Short,13th Dec 2018 04:30,2 days 7 hours,153.354082,163.490509,10.136426,6.61,Bitmex,1,3265
358,Long,11th Dec 2018 06:00,1 day 22 hours 30 minutes,155.366031,153.313022,-2.053009,-1.32,Bitmex,1,3349.36
357,Short,10th Dec 2018 08:00,22 hours,152.351431,155.427554,3.076122,2.02,Bitmex,1,3410.15
356,Long,9th Dec 2018 07:30,1 day 30 minutes,150.332281,152.392638,2.060357,1.37,Bitmex,1,3531.18
355,Short,8th Dec 2018 17:00,14 hours 30 minutes,153.538785,150.266842,-3.271942,-2.13,Bitmex,1,3401
354,Long,7th Dec 2018 16:30,1 day 30 minutes,148.58535,153.639876,5.054526,3.4,Bitmex,1,3380.01
353,Short,3rd Dec 2018 04:00,4 days 12 hours 30 minutes,122.559522,149.116489,26.556966,21.67,Bitmex,1,3833.47
352,Long,2nd Dec 2018 20:00,8 hours,127.965674,122.449193,-5.516481,-4.31,Bitmex,1,4103.19
351,Short,29th Nov 2018 06:30,3 days 13 hours 30 minutes,126.22872,128.001122,1.772401,1.4,Bitmex,1,4248
350,Long,27th Nov 2018 07:30,1 day 23 hours,114.509977,126.467878,11.957901,10.44,Bitmex,1,3775
349,Short,26th Nov 2018 13:00,18 hours 30 minutes,109.821002,114.605671,4.784668,4.36,Bitmex,1,3731.32
348,Long,24th Nov 2018 23:00,1 day 14 hours,104.013042,109.939531,5.926489,5.7,Bitmex,1,3774.99
347,Short,22nd Nov 2018 18:30,2 days 4 hours 30 minutes,86.462278,104.371221,17.908943,20.71,Bitmex,1,4265.36
346,Long,20th Nov 2018 05:30,3 hours 16 minutes,93.722324,86.314114,-7.40821,-7.9,Bitmex,1,4349.23
345,Short,18th Nov 2018 16:00,1 day 13 hours 30 minutes,77.92605,94.044697,16.118647,20.68,Bitmex,1,5560
344,Long,15th Nov 2018 15:00,3 days 1 hour,73.64551,78.013408,4.367898,5.93,Bitmex,1,5579.52
343,Short,12th Nov 2018 17:30,2 days 21 hours 30 minutes,60.598832,73.911768,13.312936,21.97,Bitmex,1,6327.87
342,Long,12th Nov 2018 03:30,14 hours,60.937739,60.591915,-0.345823,-0.57,Bitmex,1,6327.87
341,Short,11th Nov 2018 03:00,1 day 30 minutes,61.145139,60.933506,-0.211633,-0.35,Bitmex,1,6357.6
340,Long,10th Nov 2018 05:30,21 hours 30 minutes,61.254056,61.142917,-0.111139,-0.18,Bitmex,1,6347.42
339,Short,9th Nov 2018 10:00,19 hours 30 minutes,61.330043,61.252505,-0.077537,-0.13,Bitmex,1,6334.89
338,Long,9th Nov 2018 07:00,3 hours,61.989072,61.316594,-0.672477,-1.08,Bitmex,1,6334.89
337,Short,7th Nov 2018 18:00,1 day 13 hours,61.178419,62.005615,0.827196,1.35,Bitmex,1,6503.12
336,Long,6th Nov 2018 08:30,1 day 9 hours 30 minutes,60.467611,61.192925,0.725314,1.2,Bitmex,1,6448.5
335,Short,5th Nov 2018 11:30,21 hours,60.746623,60.461917,-0.284706,-0.47,Bitmex,1,6404
334,Long,3rd Nov 2018 21:30,1 day 14 hours,60.245908,60.756842,0.510933,0.85,Bitmex,1,6331.96
333,Short,2nd Nov 2018 17:00,1 day 4 hours 30 minutes,60.269376,60.245429,-0.023947,-0.04,Bitmex,1,6349.8
332,Long,1st Nov 2018 22:00,19 hours,60.30688,60.268611,-0.038269,-0.06,Bitmex,1,6344
331,Short,1st Nov 2018 08:00,14 hours,60.714728,60.298557,-0.41617,-0.69,Bitmex,1,6344
330,Long,31st Oct 2018 16:00,16 hours,60.931936,60.710295,-0.221641,-0.36,Bitmex,1,6304.18
329,Short,31st Oct 2018 15:00,1 hour,61.885298,60.912479,-0.972818,-1.57,Bitmex,1,6304.18
328,Long,30th Oct 2018 10:30,1 day 4 hours 30 minutes,62.265342,61.877542,-0.3878,-0.62,Bitmex,1,6267.63
327,Short,29th Oct 2018 11:30,23 hours,61.829438,62.274238,0.4448,0.72,Bitmex,1,6266
326,Long,28th Oct 2018 06:30,1 day 5 hours,62.827356,61.809072,-1.018283,-1.62,Bitmex,1,6403.62
325,Short,24th Oct 2018 22:00,3 days 8 hours 30 minutes,62.794981,62.828016,0.033035,0.05,Bitmex,1,6415.98
324,Long,23rd Oct 2018 22:00,1 day,62.629294,62.798362,0.169068,0.27,Bitmex,1,6395.14
323,Short,23rd Oct 2018 14:30,7 hours 30 minutes,62.832261,62.625152,-0.207109,-0.33,Bitmex,1,6395.14
322,Long,19th Oct 2018 10:30,4 days 4 hours,62.92476,62.830373,-0.094387,-0.15,Bitmex,1,6382.99
321,Short,16th Oct 2018 00:00,3 days 10 hours 30 minutes,62.532435,62.932767,0.400332,0.64,Bitmex,1,6457.11
320,Long,15th Oct 2018 06:30,17 hours 30 minutes,63.588524,62.510882,-1.077642,-1.69,Bitmex,1,6440.42
319,Short,9th Oct 2018 06:00,6 days 30 minutes,63.010861,63.600313,0.589451,0.94,Bitmex,1,6589.48
318,Long,6th Oct 2018 00:30,3 days 5 hours 30 minutes,62.893573,63.013255,0.119681,0.19,Bitmex,1,6552.43
317,Short,4th Oct 2018 20:00,1 day 4 hours 30 minutes,63.164913,62.888036,-0.276877,-0.44,Bitmex,1,6547.45
316,Long,3rd Oct 2018 16:00,1 day 4 hours,62.414173,63.180234,0.766061,1.23,Bitmex,1,6466.03
315,Short,1st Oct 2018 01:30,2 days 14 hours 30 minutes,61.203631,62.438878,1.235246,2.02,Bitmex,1,6572.83
314,Long,29th Sep 2018 12:00,1 day 13 hours 30 minutes,60.901007,61.209807,0.3088,0.51,Bitmex,1,6581
313,Short,28th Sep 2018 18:00,18 hours,60.333425,60.91259,0.579164,0.96,Bitmex,1,6620.01
312,Long,27th Sep 2018 20:00,22 hours,60.560783,60.328785,-0.231998,-0.38,Bitmex,1,6680.01
311,Short,27th Sep 2018 04:30,15 hours 30 minutes,62.287012,60.525554,-1.761457,-2.83,Bitmex,1,6680.01
310,Long,25th Sep 2018 21:30,1 day 7 hours,61.371255,62.305701,0.934445,1.52,Bitmex,1,6436.89
309,Short,25th Sep 2018 00:30,21 hours,60.124755,61.396694,1.271939,2.12,Bitmex,1,6436.89
308,Long,18th Sep 2018 12:00,6 days 12 hours 30 minutes,58.131589,60.165432,2.033843,3.5,Bitmex,1,6335.7
307,Short,17th Sep 2018 13:00,23 hours,56.780702,58.159158,1.378455,2.43,Bitmex,1,6250.7
306,Long,16th Sep 2018 20:00,17 hours,57.344438,56.769198,-0.57524,-1,Bitmex,1,6498
305,Short,15th Sep 2018 09:30,1 day 10 hours 30 minutes,57.281867,57.345715,0.063848,0.11,Bitmex,1,6518.68
304,Long,12th Sep 2018 04:30,3 days 5 hours,55.369696,57.320891,1.951194,3.52,Bitmex,1,6326
303,Short,10th Sep 2018 06:30,1 day 22 hours,55.399256,55.369093,-0.030162,-0.05,Bitmex,1,6300
302,Long,8th Sep 2018 18:30,1 day 12 hours,54.206911,55.42359,1.216678,2.24,Bitmex,1,6188
301,Short,5th Sep 2018 04:00,3 days 14 hours 30 minutes,45.321216,54.388252,9.067035,20.01,Bitmex,1,6687.96
300,Long,28th Aug 2018 00:00,1 week 1 day 4 hours,42.766091,45.373362,2.60727,6.1,Bitmex,1,7071.01
299,Short,25th Aug 2018 16:00,2 days 8 hours,43.914141,42.742661,-1.171479,-2.67,Bitmex,1,6737.52
298,Long,23rd Aug 2018 14:30,2 days 1 hour 30 minutes,42.196141,43.949202,1.753061,4.15,Bitmex,1,6526.36
297,Short,22nd Aug 2018 17:00,21 hours 30 minutes,42.371143,42.192569,-0.178573,-0.42,Bitmex,1,6359.99
296,Long,17th Aug 2018 10:00,5 days 7 hours,42.862083,42.361124,-0.500959,-1.17,Bitmex,1,6585.49
295,Short,17th Aug 2018 02:00,8 hours,43.954695,42.839785,-1.11491,-2.54,Bitmex,1,6585.49
294,Long,16th Aug 2018 18:00,8 hours,44.526037,43.943035,-0.583002,-1.31,Bitmex,1,6315.9
293,Short,13th Aug 2018 18:30,2 days 23 hours 30 minutes,45.937825,44.497225,-1.440599,-3.14,Bitmex,1,6253.67
292,Long,12th Aug 2018 22:00,20 hours 30 minutes,47.067179,45.914777,-1.152402,-2.45,Bitmex,1,6316.01
291,Short,6th Aug 2018 14:30,6 days 7 hours 30 minutes,43.315922,47.143735,3.827813,8.84,Bitmex,1,6938
290,Long,5th Aug 2018 11:00,1 day 3 hours 30 minutes,44.043296,43.301078,-0.742218,-1.69,Bitmex,1,7030.01
289,Short,4th Aug 2018 13:00,22 hours,42.860011,44.067444,1.207433,2.82,Bitmex,1,7005
288,Long,3rd Aug 2018 16:30,20 hours 30 minutes,44.298814,42.830648,-1.468166,-3.31,Bitmex,1,7414.08
287,Short,2nd Aug 2018 18:30,22 hours,44.089342,44.303089,0.213747,0.48,Bitmex,1,7533.92
286,Long,1st Aug 2018 13:30,1 day 5 hours,44.616549,44.078583,-0.537966,-1.21,Bitmex,1,7603.99
285,Short,28th Jul 2018 11:30,4 days 2 hours,41.458025,44.681009,3.222983,7.77,Bitmex,1,8228.9
284,Long,26th Jul 2018 07:30,2 days 4 hours,41.869284,41.449632,-0.419651,-1,Bitmex,1,7931.99
283,Short,24th Jul 2018 23:30,1 day 8 hours,41.544511,41.875912,0.3314,0.8,Bitmex,1,8385.5
282,Long,17th Jul 2018 18:00,1 week 5 hours 30 minutes,36.568804,41.646057,5.077252,13.88,Bitmex,1,7315.01
281,Short,17th Jul 2018 14:00,3 hours 44 minutes,39.229257,36.514509,-2.714748,-6.92,Bitmex,1,7315.01
280,Long,16th Jul 2018 10:00,1 day 4 hours,38.253021,39.249181,0.996159,2.6,Bitmex,1,6728.81
